name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Louisville,2023-01-01,13.4,4.5,8.8,13.4,3.2,8.3,8.1,95.6,0.019,100,4.17,rain,0,0,20.5,9.4,129.2,1016.3,81.5,8.3,31.4,2.8,1,10,2023-01-01T07:59:59,2023-01-01T17:33:28,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-02,17.8,8.2,13.9,17.8,8.2,13.9,12.1,89.2,0.554,100,8.33,rain,0,0,33.5,12.4,142.9,1016.1,82.6,15.1,22.9,2,1,10,2023-01-02T08:00:07,2023-01-02T17:34:17,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-03,17.5,15,16.3,17.5,15,16.3,14.7,90.2,62.816,100,66.67,rain,0,0,51.7,32.3,183,1008.3,87.7,13,20.7,1.8,1,10,2023-01-03T08:00:13,2023-01-03T17:35:07,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-04,15.9,5.3,12.8,15.9,2.2,12.2,8.1,74.2,0,0,0,,0,0,49.3,27.2,242.2,1008.6,56.2,16,87.5,7.4,4,10,2023-01-04T08:00:16,2023-01-04T17:35:59,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-05,10.3,1.7,5.5,10.3,-1.5,2.6,-1.1,65.1,0,0,0,,0,0,45.6,30.6,234.2,1016.1,61.4,16,70.3,6.2,4,10,2023-01-05T08:00:18,2023-01-05T17:36:52,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-06,8.1,0,3.8,5.5,-3.3,1.1,-2.4,64.6,0,0,0,,0,0,31.7,21.3,234.9,1022.7,42.5,16,101,8.6,5,10,2023-01-06T08:00:17,2023-01-06T17:37:46,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-07,10.9,-0.2,5,10.9,-0.2,4.3,-2,63.1,0,0,0,,0,0,29.5,18.6,20.5,1025.6,49.3,15.8,99,8.5,4,10,2023-01-07T08:00:15,2023-01-07T17:38:41,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-08,6.2,2.8,4.4,6.2,-0.2,2,-0.7,70.2,0.293,100,8.33,rain,0,0,18.4,15.1,1.7,1022.2,100,15.6,37.5,3.2,2,10,2023-01-08T08:00:10,2023-01-08T17:39:38,0.56,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-09,8.1,0.4,3.6,8.1,-3.3,1.4,-1.7,69.9,0,0,0,,0,0,14.8,16.5,259.9,1023.2,65.1,15.5,92.2,7.8,4,10,2023-01-09T08:00:03,2023-01-09T17:40:35,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KFTK,D1289,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-10,12.3,0.9,5.9,12.3,-2.1,4.3,-0.1,66.2,0,0,0,,0,0,33.5,18.4,181.6,1015.9,35.2,16,95.9,8.3,4,10,2023-01-10T07:59:54,2023-01-10T17:41:34,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-11,15.6,4.6,10.3,15.6,3.4,9.5,7.4,82.2,0.006,100,4.17,rain,0,0,27.7,13.2,156.9,1011.6,78.4,15.7,31,2.8,2,10,2023-01-11T07:59:43,2023-01-11T17:42:33,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-12,14.7,4.3,11.5,14.7,-0.4,10.6,9.4,86.5,13.023,100,41.67,rain,0,0,66.3,30.1,297.2,1007.6,94.2,14.4,30.9,2.7,2,10,2023-01-12T07:59:30,2023-01-12T17:43:33,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-13,4.5,0.6,2.6,0.2,-4.5,-1.7,-0.5,80.4,0.822,100,29.17,"rain,snow",0.3,0,48.5,24.5,323.2,1019,100,14.3,36,3.1,2,10,2023-01-13T07:59:15,2023-01-13T17:44:35,0.73,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KFTK,D1289,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-14,3.6,-1.7,0.8,0.8,-4.6,-2.3,-5,65.2,0,0,0,"rain,freezingrain,snow",0,0,31.7,17.9,335,1025.1,73,16,69.2,6,4,10,2023-01-14T07:58:58,2023-01-14T17:45:37,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,D1289,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-15,7.8,-3.8,1.3,5.2,-6.5,-0.7,-5,66.3,0,0,0,"rain,snow",0,0,18.4,17.9,127,1023.8,27.8,15.8,103.5,8.9,5,10,2023-01-15T07:58:38,2023-01-15T17:46:39,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-16,12.3,0.3,5.5,12.3,-3,3.7,-0.4,67.6,5.435,100,25,"rain,freezingrain,snow",0,0,37.1,23.1,150.5,1013.1,78.8,15.5,18.2,1.5,1,10,2023-01-16T07:58:17,2023-01-16T17:47:43,0.83,"Snow, Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-17,17.5,8.8,13.8,17.5,6.8,13.6,8.1,71,0.577,100,8.33,rain,0,0,47.6,28.3,236.9,1006.7,52.1,16,106,9.2,5,10,2023-01-17T07:57:54,2023-01-17T17:48:47,0.86,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-18,10.6,3.6,7,10.6,2.4,5.7,3.7,80,3.263,100,25,rain,0,0,38.9,15.7,72.6,1013.4,73,15.1,36.2,3.1,1,10,2023-01-18T07:57:28,2023-01-18T17:49:52,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-19,17.5,5.9,12.5,17.5,1.7,11.4,6.1,67,11.179,100,20.83,rain,0,0,84.5,52,230.4,1005.4,69.1,15.3,90,7.8,5,10,2023-01-19T07:57:01,2023-01-19T17:50:57,0.93,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-20,5.3,1.9,3,0.7,-2.3,-1.2,-2.5,67.4,0.293,100,8.33,rain,0,0,48.8,32.5,281.3,1020.7,100,15.9,25.4,2.2,1,10,2023-01-20T07:56:31,2023-01-20T17:52:03,0.96,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-21,5.9,1.2,2.4,4.3,-1.5,0.7,-3,67.5,0,0,0,,0,0,13,12.2,57.8,1022.9,68.5,16,70.3,6,3,10,2023-01-21T07:56:00,2023-01-21T17:53:09,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-22,3.1,0.3,1.9,2.8,-1.4,0.4,0.2,88.5,10.408,100,37.5,"rain,snow",6.6,0.7,18.4,14.1,320.8,1011.3,99.4,10.3,29,2.4,2,10,2023-01-22T07:55:27,2023-01-22T17:54:16,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-23,3.6,-0.2,2,1.2,-2.8,-1.4,-1.3,79.8,0.006,100,4.17,rain,0,0,35.3,22.2,273.8,1020.4,85,15.3,55.3,4.8,2,10,2023-01-23T07:54:52,2023-01-23T17:55:23,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KFTK,D1289,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-24,8.9,-2.2,3.3,8.4,-5.9,1.3,-1.7,72.3,0,0,0,,0,0,27.7,12.8,135.8,1023.9,50,15.8,98.9,8.6,5,10,2023-01-24T07:54:15,2023-01-24T17:56:30,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-25,8.6,2.8,4.5,5.1,-1.9,0.4,2.5,87.2,12.509,100,62.5,rain,0,0,64.6,36.2,225.5,1006.6,100,14,22.5,2.1,1,10,2023-01-25T07:53:36,2023-01-25T17:57:38,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-26,2.8,0,1.3,-1.6,-5.3,-3.6,-2.8,74.5,0.157,100,4.17,"rain,snow",0.8,0,50,29.6,255.7,1017.1,99.2,14.9,32.9,2.9,2,10,2023-01-26T07:52:55,2023-01-26T17:58:45,0.16,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-27,10.9,-4.7,3.3,10.9,-9.5,-0.2,-4.7,58.4,0,0,0,,0,0,57.9,34.6,205.2,1019.8,48.2,16,114.7,10,5,10,2023-01-27T07:52:12,2023-01-27T17:59:53,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-28,14.5,3.7,9.5,14.5,1.1,8.2,-2.8,43.4,0,0,0,,0,0,47.9,25.9,198.3,1022.1,60.5,16,98.1,8.5,5,10,2023-01-28T07:51:28,2023-01-28T18:01:02,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-29,10.3,4.8,7.8,10.3,1.8,5.8,5.9,89,3.527,100,50,rain,0,0,52.3,27.6,193.9,1020.2,100,10.8,24.3,2.1,1,10,2023-01-29T07:50:42,2023-01-29T18:02:10,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-30,4.2,-0.9,1.8,3.1,-6.3,-1.7,0.8,92.8,2.46,100,12.5,"rain,snow,ice",1.2,0.1,25.9,19.5,351.1,1023.8,100,7.1,18.5,1.6,1,10,2023-01-30T07:49:54,2023-01-30T18:03:18,0.3,"Snow, Rain, Ice, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"KFTK,D1289,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-01-31,-1.4,-4.1,-2.8,-5.6,-9.6,-7.3,-4.8,85.9,2.494,100,25,"rain,snow,ice",2.5,1.7,25.9,18.6,353.2,1027.3,98.8,12.8,41.5,3.4,2,10,2023-01-31T07:49:04,2023-01-31T18:04:27,0.33,"Snow, Rain, Ice, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-01,0.9,-6.1,-2.4,0.9,-10.7,-4.5,-7.5,68.6,0,0,0,,0,0,16.6,12.2,350.8,1028.8,55.6,15.9,124.7,10.7,5,10,2023-02-01T07:48:13,2023-02-01T18:05:35,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-02,3.1,-3,0,0.3,-5.6,-2.4,-5.4,68.2,0,0,0,,0,0,22.3,12.8,241.5,1024.5,48.9,16,81,6.9,3,10,2023-02-02T07:47:20,2023-02-02T18:06:44,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-03,-0.6,-6.1,-3.1,-3.2,-12.8,-7.5,-12.5,49.4,0,0,0,,0,0,40.7,22.4,337.4,1031.8,8.9,16,132.6,11.4,5,10,2023-02-03T07:46:26,2023-02-03T18:07:52,0.43,Clear,Clear conditions throughout the day.,clear-day,"KFTK,D1289,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-04,9.7,-7.2,0.9,6.8,-12.5,-2.6,-9.2,49.2,0,0,0,,0,0,40.7,26.9,186.3,1029.8,32.4,16,121.3,10.5,5,10,2023-02-04T07:45:29,2023-02-04T18:09:00,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-05,12.8,6.4,9,12.8,2.9,7.1,-0.9,50.4,0,0,0,,0,0,49.2,31.6,219.2,1019.2,47.6,16,83.5,7.4,3,10,2023-02-05T07:44:32,2023-02-05T18:10:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,D1289,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-06,12.8,-0.7,6.7,12.8,-0.9,5.6,-1.1,60.4,0,0,0,,0,0,18.4,15.6,116.3,1022.4,30,15.9,133.1,11.4,5,10,2023-02-06T07:43:33,2023-02-06T18:11:17,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-07,17.6,6.2,12.1,17.6,4.2,11.7,4.1,59.7,1.311,100,12.5,rain,0,0,46.8,27.7,210.2,1019.8,84.3,15.1,55.3,4.7,3,10,2023-02-07T07:42:32,2023-02-07T18:12:25,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-08,13.1,7.3,10.5,13.1,5.5,9.9,7,79,0.979,100,20.83,rain,0,0,27.7,13.9,64.5,1022.4,99.6,15.8,54.6,4.7,3,10,2023-02-08T07:41:30,2023-02-08T18:13:32,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
